claim_title,claim_desc,impact_domain,domain_definition,advanced_characteristic,score,evidence_note,assessment_type,vector_category,dataset_version,assessment_date,threat_vector_id
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Personal Integrity,Assessment of threat impact on personal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,1
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Relational Integrity,Assessment of threat impact on relational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,2
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Societal Integrity,Assessment of threat impact on societal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,3
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Truth Integrity,Assessment of threat impact on truth integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,4
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Spiritual Integrity,Assessment of threat impact on spiritual integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,5
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Cognitive Integrity,Assessment of threat impact on cognitive integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,6
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Temporal Integrity,Assessment of threat impact on temporal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,7
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Privacy Integrity,Assessment of threat impact on privacy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,8
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Security Integrity,Assessment of threat impact on security integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,9
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Democratic Integrity,Assessment of threat impact on democratic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,10
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Economic Integrity,Assessment of threat impact on economic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,11
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Cultural Integrity,Assessment of threat impact on cultural integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,12
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Educational Integrity,Assessment of threat impact on educational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,13
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Scientific Integrity,Assessment of threat impact on scientific integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,14
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Institutional Integrity,Assessment of threat impact on institutional integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,15
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Legal Integrity,Assessment of threat impact on legal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,16
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Ethical Integrity,Assessment of threat impact on ethical integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,17
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Environmental Integrity,Assessment of threat impact on environmental integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,18
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Technological Integrity,Assessment of threat impact on technological integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,19
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Communication Integrity,Assessment of threat impact on communication integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,20
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Memory Integrity,Assessment of threat impact on memory integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,21
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Identity Integrity,Assessment of threat impact on identity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,22
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Autonomy Integrity,Assessment of threat impact on autonomy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,23
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Trust Integrity,Assessment of threat impact on trust integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,24
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Transparency Integrity,Assessment of threat impact on transparency integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,25
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Accountability Integrity,Assessment of threat impact on accountability integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,26
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Human Dignity Integrity,Assessment of threat impact on human dignity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,27
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Future Integrity,Assessment of threat impact on future integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,28
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Global Integrity,Assessment of threat impact on global integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,29
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Evolutionary Integrity,Assessment of threat impact on evolutionary integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,30
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Existential Integrity,Assessment of threat impact on existential integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,31
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Consciousness Integrity,Assessment of threat impact on consciousness integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,32
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,Reality Integrity,Assessment of threat impact on reality integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,33
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Stealth Factor,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,34
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Cascade Potential,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,35
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Adaptation Rate,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,36
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Dependency Creation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,37
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Identity Subversion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,38
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Reality Distortion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,39
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Social Fragmentation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,40
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Institutional Erosion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,41
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Democratic Threat,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,42
Trump Administration Coordination,Executive Orders removing AI oversight and coordinating with tech companies,,,Civilizational Risk,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,43
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Personal Integrity,Assessment of threat impact on personal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,44
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Relational Integrity,Assessment of threat impact on relational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,45
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Societal Integrity,Assessment of threat impact on societal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,46
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Truth Integrity,Assessment of threat impact on truth integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,47
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Spiritual Integrity,Assessment of threat impact on spiritual integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,48
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Cognitive Integrity,Assessment of threat impact on cognitive integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,49
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Temporal Integrity,Assessment of threat impact on temporal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,50
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Privacy Integrity,Assessment of threat impact on privacy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,51
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Security Integrity,Assessment of threat impact on security integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,52
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Democratic Integrity,Assessment of threat impact on democratic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,53
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Economic Integrity,Assessment of threat impact on economic integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,54
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Cultural Integrity,Assessment of threat impact on cultural integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,55
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Educational Integrity,Assessment of threat impact on educational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,56
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Scientific Integrity,Assessment of threat impact on scientific integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,57
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Institutional Integrity,Assessment of threat impact on institutional integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,58
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Legal Integrity,Assessment of threat impact on legal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,59
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Ethical Integrity,Assessment of threat impact on ethical integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,60
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Environmental Integrity,Assessment of threat impact on environmental integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,61
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Technological Integrity,Assessment of threat impact on technological integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,62
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Communication Integrity,Assessment of threat impact on communication integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,63
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Memory Integrity,Assessment of threat impact on memory integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,64
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Identity Integrity,Assessment of threat impact on identity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,65
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Autonomy Integrity,Assessment of threat impact on autonomy integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,66
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Trust Integrity,Assessment of threat impact on trust integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,67
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Transparency Integrity,Assessment of threat impact on transparency integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,68
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Accountability Integrity,Assessment of threat impact on accountability integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,69
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Human Dignity Integrity,Assessment of threat impact on human dignity integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,70
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Future Integrity,Assessment of threat impact on future integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,71
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Global Integrity,Assessment of threat impact on global integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,72
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Evolutionary Integrity,Assessment of threat impact on evolutionary integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,73
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Existential Integrity,Assessment of threat impact on existential integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,74
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Consciousness Integrity,Assessment of threat impact on consciousness integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,75
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,Reality Integrity,Assessment of threat impact on reality integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,76
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Stealth Factor,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,77
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Cascade Potential,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,78
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Adaptation Rate,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,79
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Dependency Creation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,80
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Identity Subversion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,81
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Reality Distortion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,82
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Social Fragmentation,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,83
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Institutional Erosion,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,84
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Democratic Threat,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,85
Google Infrastructure Militarization,CDAO contract granting DoD access to entire CONUS infrastructure,,,Civilizational Risk,,,advanced_characteristic,threat_amplification,1.0.0,2025-10-12,86
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Personal Integrity,Assessment of threat impact on personal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,87
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Relational Integrity,Assessment of threat impact on relational integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,88
Palantir Maven Integration,Maven Smart System deployment across military services with $1.3B expansion,Societal Integrity,Assessment of threat impact on societal integrity,,,,integrity_domain,domain_impact,1.0.0,2025-10-12,89
